guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number
rorozco@example.com,False,SUITE,10.810764292617872,10 Mar 2020,2020-01-24,117.03,sdv-pii-10wyr,4046518656596110
jessicareyes@example.com,False,BASIC,18.43299866907021,22 Jul 2020,2020-06-15,185.17,sdv-pii-8ban9,213143240266545
ovilla@example.org,False,BASIC,36.91266041478651,12 Jul 2020,2020-11-06,262.42,sdv-pii-gmxyf,372121281153852
morrisheidi@example.org,False,BASIC,14.143241245886799,13 Sep 2020,2020-10-25,174.97,sdv-pii-vo9bj,30257115924177
jamesmeyer@example.com,False,DELUXE,12.17970094370072,31 Jan 2020,2020-07-22,87.94,sdv-pii-5s1pm,5571792344999719
hannah55@example.org,False,SUITE,44.14008967356358,16 Nov 2020,2020-07-10,96.92,sdv-pii-wu7w0,375944771811839
aprilgomez@example.net,False,DELUXE,22.384074146720913,15 Sep 2020,2020-07-10,112.45,sdv-pii-9tnh9,180063429088131
campbellangela@example.net,False,BASIC,9.860292291846505,29 Jul 2020,2020-01-07,115.18,sdv-pii-narrb,213122414228135
carsonnicole@example.org,False,DELUXE,0.0,06 Jan 2020,2020-01-07,94.77,sdv-pii-i6x1t,4136353696303
kenneth83@example.org,False,DELUXE,25.473143297285183,05 Jan 2020,2020-01-24,132.75,sdv-pii-sv4gp,3553435814750405
brownrussell@example.org,False,SUITE,31.07058724868272,03 Aug 2020,2020-02-05,235.3,sdv-pii-mj48y,4710248278087
tina69@example.net,True,BASIC,27.487814165882476,14 Apr 2020,2020-06-12,166.28,sdv-pii-gn33d,213156181535900
amber25@example.net,False,BASIC,34.548756530265635,13 Nov 2020,2020-02-08,141.74,sdv-pii-7iqdc,213160382436587
debrahuffman@example.org,False,BASIC,7.65451610844122,21 Oct 2020,2020-10-21,162.99,sdv-pii-hvdsz,6011530201262219
williamburgess@example.org,False,BASIC,30.790632907381543,29 Jul 2020,2020-01-21,96.34,sdv-pii-rkl8r,213112801600194
zrobbins@example.net,True,DELUXE,9.138879407339697,07 Jan 2021,2021-01-08,307.25,sdv-pii-qlwwf,180063245743059
wagnerjamie@example.org,False,DELUXE,13.541999836510392,12 Feb 2020,2020-01-26,130.13,sdv-pii-ju0jn,3541638060430383
hardydennis@example.com,True,SUITE,42.50127508867527,05 Jan 2020,2020-09-08,168.98,sdv-pii-8qtl4,376614853931354
flynnjimmy@example.net,True,DELUXE,22.66750910655756,20 Jan 2020,2020-10-20,135.5,sdv-pii-5fyws,3596175928581648
uyoung@example.com,True,SUITE,12.193886742689404,19 Aug 2020,2020-01-07,117.46,sdv-pii-v7kq5,4610682529540924235
samantha31@example.com,False,SUITE,27.63590006752044,22 Sep 2020,2020-06-30,195.56,sdv-pii-320rn,4742188395340388173
donaldhernandez@example.net,False,BASIC,37.10560916054347,22 Feb 2020,2020-05-06,116.21,sdv-pii-73621,213119157622318
nedwards@example.com,True,DELUXE,35.03242145349303,18 Jan 2020,2020-05-19,119.0,sdv-pii-ywjb1,4029871780321
benjamin39@example.com,False,BASIC,9.030666798873394,30 Jul 2020,2020-01-10,116.16,sdv-pii-gurgp,377590064067148
urobles@example.com,False,SUITE,20.84076997402281,03 Mar 2020,2020-04-09,143.44,sdv-pii-gmzu4,3566817491941487
crystal04@example.org,True,BASIC,42.91894976173734,06 Nov 2020,2020-02-11,98.18,sdv-pii-gea6e,2337707179865092
fergusonisaiah@example.net,True,DELUXE,21.308548872304222,15 Sep 2020,2020-11-13,165.51,sdv-pii-hsdtn,3509153230666064
olyons@example.com,False,BASIC,11.887169812539266,10 Sep 2020,2021-01-08,100.74,sdv-pii-f6e8r,213167709829436
stephaniepalmer@example.org,True,SUITE,16.552533925914037,17 Aug 2020,2020-12-31,167.9,sdv-pii-dcdcg,341863862697728
angela10@example.org,False,SUITE,37.625405252620496,29 Jun 2020,2020-10-25,149.93,sdv-pii-atpdc,3552102551004252
bestjohn@example.org,False,BASIC,36.39906063157143,30 Jan 2020,2020-09-03,121.88,sdv-pii-ixjnh,180033219602748
operez@example.com,True,DELUXE,33.375040177608696,07 Jan 2021,2020-01-07,157.64,sdv-pii-vc81o,6011856002036936
wongdaniel@example.org,False,BASIC,17.37261500914423,18 Aug 2020,2020-07-12,87.96,sdv-pii-aw2av,4740891044181484
tommymoore@example.com,True,DELUXE,48.12,20 Aug 2020,2020-07-14,89.99,sdv-pii-jviyi,3591215783640223
fmorrow@example.org,False,BASIC,39.26605172224278,24 Aug 2020,2020-08-12,90.52,sdv-pii-gt521,4708329654185016
dtaylor@example.com,False,DELUXE,21.658446367052193,27 Mar 2020,2020-03-21,101.09,sdv-pii-vwv35,4796988056376797
jennifer73@example.com,False,BASIC,1.9598639126044848,04 Sep 2020,2020-11-21,143.95,sdv-pii-fgwpn,180017149880789
eterry@example.com,False,BASIC,28.497230425700717,08 Feb 2020,2020-01-07,83.8,sdv-pii-fghdr,3507199403976774
lynn07@example.com,False,BASIC,35.976365315227355,29 Aug 2020,2020-09-18,249.74,sdv-pii-51i9n,4672370617993940
coleholt@example.org,True,BASIC,9.908046167423846,18 Oct 2020,2020-08-04,209.6,sdv-pii-ggus0,3521759434674557
nmitchell@example.org,True,DELUXE,18.287500610089257,08 Jul 2020,2020-05-07,241.41,sdv-pii-atbvq,639010483654
brandon22@example.net,False,BASIC,45.486902426303594,29 Apr 2020,2020-08-30,424.84,sdv-pii-hj4y7,3553027841454919
michael05@example.com,False,DELUXE,38.83727477750476,19 Nov 2020,2020-10-19,123.04,sdv-pii-lkzk0,4074251163120787
weavertrevor@example.org,False,BASIC,22.205595699128555,13 Apr 2020,2020-09-08,266.47,sdv-pii-aiok5,3580387776726062
sarahmorgan@example.org,False,BASIC,0.0,05 Mar 2020,2020-01-07,88.0,sdv-pii-v8r1v,4533702435314801
allisonlawrence@example.net,False,BASIC,8.860192261434436,06 Sep 2020,2020-02-06,135.69,sdv-pii-8zrcu,4189655202650087
oarnold@example.org,False,BASIC,46.602008014899525,19 Sep 2020,2020-01-07,218.2,sdv-pii-zfgqx,4910191433168620
catherine29@example.org,False,SUITE,0.0,06 Feb 2020,2020-01-07,424.84,sdv-pii-x9ep7,676237038648
olewis@example.com,False,BASIC,39.79177688156037,16 Oct 2020,2020-04-03,237.54,sdv-pii-5meok,564820217896
amelendez@example.com,False,BASIC,34.311505523519315,05 Jan 2020,2020-03-29,215.74,sdv-pii-qq526,501810703832
danielle19@example.net,False,DELUXE,0.0,08 Oct 2020,2020-03-17,86.56,sdv-pii-9tgee,30457105775171
karen43@example.net,False,BASIC,31.209989935662158,05 Mar 2020,2020-05-08,174.84,sdv-pii-upxp5,30262281872127
flynnjonathan@example.net,True,DELUXE,2.802458959511492,16 Feb 2020,2020-01-07,223.53,sdv-pii-vl16a,38363039780877
angela17@example.com,False,BASIC,29.49705721616221,15 Jul 2020,2020-01-07,155.74,sdv-pii-aviqf,3535703553962033
nhenderson@example.net,False,BASIC,28.55762194414057,10 Jul 2020,2020-01-07,102.12,sdv-pii-84x76,6011993493279194
hughesryan@example.net,False,BASIC,14.004522136257545,11 Sep 2020,2020-02-09,202.43,sdv-pii-r1dqx,4385798186491
ksmith@example.com,False,SUITE,19.79238233471314,25 Jan 2020,2020-02-20,94.49,sdv-pii-tcr1a,3568136185486339
kevin71@example.org,False,BASIC,17.468405665481463,21 Aug 2020,2020-04-26,166.66,sdv-pii-6a7t2,3567977775876426
lauren78@example.com,False,BASIC,40.43574727776223,18 Jun 2020,2020-06-30,394.67,sdv-pii-q62fo,5142563328240341
stephen92@example.org,False,BASIC,1.7388182963917531,24 Jul 2020,2020-08-05,199.26,sdv-pii-gk75w,675995288700
burtonkenneth@example.com,True,SUITE,4.382979951878092,25 Jul 2020,2020-01-07,119.96,sdv-pii-efjw6,2261594084601584
joseph47@example.com,True,DELUXE,48.12,10 Oct 2020,2020-01-07,167.76,sdv-pii-ezpg3,6581272383394516
qmayer@example.org,False,BASIC,25.11243968624811,22 Jan 2020,2020-01-07,211.76,sdv-pii-kfnvr,3553848175168068
sanfordevan@example.com,False,DELUXE,41.95691503484108,05 Jan 2020,2020-01-07,121.07,sdv-pii-yoim4,3506277340293106
kimjulie@example.org,False,BASIC,48.12,07 Jan 2021,2020-01-29,187.06,sdv-pii-eruav,6555957070587008
jhensley@example.com,True,BASIC,27.48370150780946,28 Aug 2020,2020-02-19,201.7,sdv-pii-33ena,5322810424480301
frankstone@example.com,False,BASIC,48.12,30 Aug 2020,2020-03-17,158.19,sdv-pii-9b6xy,4494898054433
dean12@example.org,False,DELUXE,14.535126479229012,05 Jan 2020,2020-01-07,83.8,sdv-pii-vn4bx,4538304694391227
mary66@example.org,True,DELUXE,19.26721400239373,25 Jan 2020,2020-06-23,113.58,sdv-pii-iku7z,38244615200532
anthonycooper@example.net,False,BASIC,34.09001040202634,31 Jul 2020,2020-01-15,124.59,sdv-pii-06znw,3510248803584194
cody76@example.org,False,BASIC,33.667106647101676,06 Sep 2020,2020-06-09,98.28,sdv-pii-vqnbr,4828945517811
emilyking@example.org,False,BASIC,35.17611522905759,03 Apr 2020,2020-05-18,260.87,sdv-pii-owyi7,3571425611713993
kfisher@example.net,False,BASIC,22.872262598376093,29 Jul 2020,2020-07-13,90.39,sdv-pii-mb6ah,370912239969106
jasmineobrien@example.org,False,SUITE,7.809553883384283,07 Oct 2020,2020-01-07,219.12,sdv-pii-8bcea,6559859880328134
lowerysarah@example.net,False,SUITE,22.251115254308218,04 Feb 2020,2020-07-08,129.11,sdv-pii-zib6d,372169384693639
djones@example.com,False,BASIC,31.03182932453896,05 Jan 2020,2020-03-31,151.83,sdv-pii-uyvag,4970169331014820
lauren09@example.com,False,BASIC,0.0,08 Aug 2020,2020-03-21,83.8,sdv-pii-t1z0u,3509251842407206
jessicabass@example.net,True,DELUXE,13.669849394399478,14 Jul 2020,2020-01-21,170.08,sdv-pii-6fju0,3523543404107170
april64@example.org,False,BASIC,27.490671457481007,06 Mar 2020,2020-01-12,214.71,sdv-pii-89sa3,4651437066893
conradryan@example.net,False,BASIC,26.815612689973,24 Oct 2020,2020-01-07,97.23,sdv-pii-07qho,60483561282
jerry90@example.com,True,BASIC,25.508770758771373,24 Jul 2020,2020-01-07,103.9,sdv-pii-8pizv,4375180523283272
cameron91@example.org,False,SUITE,31.639223540401,08 Sep 2020,2020-04-24,124.42,sdv-pii-irnao,4540230307683021
hickskimberly@example.net,False,BASIC,10.368655531881956,16 Sep 2020,2020-01-07,129.75,sdv-pii-xcxtj,4295046255784
shannon62@example.com,False,BASIC,33.87485647412178,26 Jul 2020,2020-06-14,106.47,sdv-pii-avh8y,213158179323505
swilliams@example.com,False,BASIC,25.166410390151068,15 Jul 2020,2020-10-01,98.84,sdv-pii-lemk3,502056146298
bernarddavid@example.com,True,SUITE,27.47755989397211,20 Sep 2020,2020-05-18,197.73,sdv-pii-38by5,4468109270892889043
tammy21@example.com,False,DELUXE,45.758776313478776,10 Feb 2020,2020-07-20,86.96,sdv-pii-rviq6,30394831136917
garyhuang@example.net,False,BASIC,23.811646357832316,19 Nov 2020,2020-04-19,178.87,sdv-pii-dyyh0,345096803205733
christopherharrison@example.com,True,SUITE,12.626096646955768,17 May 2020,2020-01-11,129.99,sdv-pii-37tuj,4982317529921464
danielsemma@example.org,False,BASIC,0.0,31 Aug 2020,2021-01-05,139.59,sdv-pii-hyycw,4573418405753081
austin76@example.org,True,BASIC,26.181921396745118,16 Nov 2020,2021-01-02,100.46,sdv-pii-72l7g,3552310759320962
yatesnathan@example.net,True,BASIC,19.60073794832999,03 Oct 2020,2020-01-07,167.07,sdv-pii-u7kmw,6011435252961075
zrivera@example.net,False,BASIC,21.030270420719884,11 Jul 2020,2020-02-24,343.0,sdv-pii-anqw5,5427912967899154
trogers@example.org,False,BASIC,19.741065662426394,05 Jan 2020,2020-01-07,108.35,sdv-pii-cjla4,36247544610905
bonnieduke@example.org,True,DELUXE,27.849036284071893,21 Jul 2020,2020-11-15,121.17,sdv-pii-gi0x8,4884594494183314715
sethkoch@example.com,False,SUITE,14.884076950378837,17 Aug 2020,2020-12-21,370.27,sdv-pii-9xuej,6011946318083480
andersondaniel@example.org,True,SUITE,27.022949523780625,05 Jan 2020,2021-01-08,198.87,sdv-pii-c8qs9,30551251859266
kristenmorales@example.net,False,DELUXE,11.310043221780374,27 Oct 2020,2020-01-07,112.35,sdv-pii-thryk,3541549664164270
rodrigueztara@example.com,False,BASIC,37.91917655266218,27 May 2020,2020-07-15,105.7,sdv-pii-p4ri6,4566985891710996478
loganblair@example.org,True,DELUXE,13.951517927812079,19 Jul 2020,2020-07-10,210.26,sdv-pii-lrgjr,213131415746946
michael36@example.org,False,BASIC,30.723074822103033,20 May 2020,2020-01-07,89.61,sdv-pii-upn41,4008542492224295
higginssteven@example.org,False,DELUXE,25.90227561128576,03 Oct 2020,2020-01-07,99.82,sdv-pii-e8dky,30161894054661
qlamb@example.com,False,DELUXE,19.826656887399842,10 Oct 2020,2020-09-10,163.8,sdv-pii-ormeq,2701544751885687
smithkarla@example.com,False,BASIC,30.061888224725642,23 Apr 2020,2020-02-10,133.64,sdv-pii-pcnme,6011531790894891
kendraguzman@example.com,False,SUITE,22.957245611469503,23 Jan 2020,2020-04-14,141.88,sdv-pii-c9g9l,570374871376
hevans@example.org,True,SUITE,9.470388330436263,14 Oct 2020,2020-01-07,169.11,sdv-pii-xgfia,4655263289567996
andersonrichard@example.net,True,BASIC,8.220264582855862,11 Aug 2020,2021-01-08,103.99,sdv-pii-budqd,370958554264763
maryflores@example.com,False,BASIC,9.781033073297474,13 Jun 2020,2020-11-07,265.64,sdv-pii-evm2c,4888634992548680
flemingstephanie@example.com,True,DELUXE,13.125115878418658,07 Jul 2020,2020-02-12,172.34,sdv-pii-obmaj,4834073267749126
hallteresa@example.org,False,SUITE,9.352228933748927,29 Oct 2020,2020-01-07,187.38,sdv-pii-aromr,3576691999388097
nbarrett@example.com,False,DELUXE,19.234121997788012,11 Mar 2020,2020-01-07,189.89,sdv-pii-jt1vj,4369224929591
michaelmoore@example.org,False,BASIC,0.4323016184038537,29 Feb 2020,2020-08-24,119.65,sdv-pii-46ak9,3587319457809274
fcook@example.com,True,DELUXE,18.09617228003211,13 Sep 2020,2020-01-19,169.13,sdv-pii-ayhyz,30011168727155
david14@example.net,False,BASIC,10.502060757343237,07 Aug 2020,2021-01-08,164.62,sdv-pii-tjyx5,4875748673188061230
adamramirez@example.org,True,DELUXE,38.291488053028644,04 Mar 2020,2020-01-07,143.94,sdv-pii-8x8er,6011378996746529
johnsondanny@example.net,True,BASIC,32.805541559082364,11 Feb 2020,2020-11-19,105.48,sdv-pii-snu2l,213139869451764
brian10@example.org,False,BASIC,21.87911841508174,13 Oct 2020,2020-01-07,266.87,sdv-pii-fb0x9,30133438943048
dlynn@example.net,False,BASIC,7.889169281245511,27 Oct 2020,2020-04-24,126.66,sdv-pii-mgz4e,3590173342524530
josephgreene@example.org,True,SUITE,0.9742093985885375,07 Jan 2021,2020-06-20,216.64,sdv-pii-1dfke,4990705302071
msmith@example.org,False,BASIC,10.968051101926017,03 May 2020,2020-05-08,172.28,sdv-pii-uoa43,639067772132
nicholasmorton@example.net,True,BASIC,31.89807028853403,10 Sep 2020,2020-01-07,83.8,sdv-pii-uno27,4049977449475858
aweaver@example.net,False,BASIC,25.910994428807427,21 Jun 2020,2020-01-07,98.46,sdv-pii-p398w,340823063679538
walkeramber@example.net,True,BASIC,24.125667146634044,29 Dec 2020,2020-02-04,136.74,sdv-pii-caazm,4054419616172366
jamesburnett@example.com,False,BASIC,20.223412443150508,05 Jan 2020,2020-01-07,136.68,sdv-pii-fvmd4,5207319464109994
lesliewinters@example.org,False,DELUXE,27.198268379100117,01 Mar 2020,2020-11-14,189.66,sdv-pii-ny03h,30404412623603
colleen71@example.net,False,DELUXE,15.61115813601983,28 Mar 2020,2020-04-26,132.96,sdv-pii-qlqs1,5470789615374145
isnow@example.com,False,DELUXE,13.791443852896487,05 Sep 2020,2020-03-18,129.07,sdv-pii-mm4bz,376373370114339
shaunkramer@example.net,False,BASIC,30.086806344978008,01 Oct 2020,2020-12-30,167.24,sdv-pii-9ow9v,30295782464978
eclarke@example.net,False,BASIC,29.900310779930315,24 Nov 2020,2020-01-07,111.34,sdv-pii-0muv4,502053012345
lesliehoffman@example.org,True,DELUXE,47.90802393174159,30 Nov 2020,2020-01-07,181.53,sdv-pii-w3w3t,30316689698805
hcoleman@example.org,True,DELUXE,0.0,30 Jul 2020,2020-06-29,93.94,sdv-pii-2mdjs,4757120221521233
amorales@example.com,False,DELUXE,12.32211345158967,29 Jul 2020,2020-02-18,109.04,sdv-pii-73yl6,5224253454615778
jillsanders@example.com,False,SUITE,7.967307410356301,30 Aug 2020,2020-08-27,238.62,sdv-pii-1cqaf,4109980658732495
ramosstefanie@example.org,False,BASIC,0.0,31 Mar 2020,2020-09-20,89.46,sdv-pii-7fbll,3530406333964098
watsonlisa@example.com,True,BASIC,42.916185587368616,05 Feb 2020,2020-01-07,125.88,sdv-pii-jia7j,3536092405925847
ihogan@example.net,True,DELUXE,3.627437968627662,10 Aug 2020,2020-01-07,121.79,sdv-pii-dee9y,180022379656339
pdonaldson@example.com,True,BASIC,17.676393768708937,31 Jan 2020,2020-01-07,233.84,sdv-pii-m5gz4,5575657950741059
qnichols@example.com,False,SUITE,32.52293008608176,05 Jan 2020,2020-03-05,170.28,sdv-pii-n3ezo,2269600127636032
sramsey@example.net,True,BASIC,3.53743706353777,23 Mar 2020,2020-05-30,99.31,sdv-pii-ojmj4,30543824290236
shelbymoses@example.org,True,DELUXE,14.042068930263149,28 Aug 2020,2020-01-07,122.41,sdv-pii-ofw9j,4170247221575551736
davismichelle@example.com,True,DELUXE,10.00685937779797,05 Oct 2020,2020-05-30,98.01,sdv-pii-4xv8t,3568541284808368
mitchelljoel@example.com,False,BASIC,10.10305474556513,29 Oct 2020,2020-09-05,151.84,sdv-pii-aur8m,676273742186
amber63@example.com,False,DELUXE,45.81765818125009,25 Jun 2020,2020-06-13,97.61,sdv-pii-8txiu,3516886696782401
heathercompton@example.net,True,DELUXE,8.299806366216778,08 Apr 2020,2020-03-31,121.08,sdv-pii-0rsca,370755572615723
schaeferdiane@example.net,False,BASIC,26.404906544694498,10 Jul 2020,2020-01-31,244.32,sdv-pii-oq3ru,213154631069604
nmendoza@example.net,True,BASIC,31.24307425602068,03 Oct 2020,2020-01-07,95.19,sdv-pii-rohn9,4974689898464769618
paula00@example.net,False,SUITE,0.0,18 Oct 2020,2020-11-03,272.04,sdv-pii-birot,180099526063890
gloverbrian@example.net,False,DELUXE,25.989184789520337,15 Aug 2020,2020-12-16,115.28,sdv-pii-bkq17,375532001265775
kdavis@example.org,False,DELUXE,11.622154429554683,31 Oct 2020,2020-11-03,90.31,sdv-pii-2vfys,30558007492979
mprice@example.net,False,BASIC,9.05384725030213,04 Mar 2020,2020-01-07,110.58,sdv-pii-eenha,639086666935
barnettmichelle@example.net,True,DELUXE,29.239094899012784,25 Sep 2020,2020-04-04,170.74,sdv-pii-02c8b,2653682505536558
nicole55@example.com,False,BASIC,17.81589573912719,24 Dec 2020,2020-07-02,190.76,sdv-pii-b6ugw,30465196003577
harrisfrancisco@example.net,False,DELUXE,30.519133854114596,17 Jul 2020,2020-02-22,174.99,sdv-pii-s98xw,4689124658856347
qreyes@example.com,True,BASIC,4.978346122362549,26 Sep 2020,2020-09-03,174.54,sdv-pii-q0pze,3509944125277961
laurenmorris@example.net,True,SUITE,12.156591348165964,05 Jan 2020,2020-11-20,240.55,sdv-pii-zb5lj,3537296998990493
aaronroberts@example.com,False,DELUXE,29.552509646496766,12 Sep 2020,2020-07-06,147.27,sdv-pii-d27qr,4479243777069
johnsonjulie@example.com,False,SUITE,2.3741540039424507,13 Jul 2020,2020-11-24,209.79,sdv-pii-7pvdx,6011936685364902
bdiaz@example.com,False,DELUXE,38.29616931607245,09 Jan 2020,2020-02-21,262.17,sdv-pii-nbttz,343233978464496
dmay@example.net,False,BASIC,34.52094616287638,05 Sep 2020,2020-07-21,83.8,sdv-pii-6eeho,4409357460188017
vkidd@example.net,False,DELUXE,46.63173230142656,01 Sep 2020,2020-02-11,192.78,sdv-pii-vq72n,30278156115616
aliciamarshall@example.org,False,BASIC,27.4646426035701,18 Sep 2020,2020-03-05,192.4,sdv-pii-k8p2a,372486796901685
